"npc_dota_hero_juggernaut"	"Juggernaut"
"npc_dota_hero_juggernaut_juggernaut_01"	"GhostFace"

"DOTA_Tooltip_ability_juggernaut_0"								"Peerless Swordplay"
"DOTA_Tooltip_ability_juggernaut_0_Description"					"Reduce the initial attack interval, reduce 0.1 second per 100 points of basic agility, and reduce 1 second at most. And increase attack power and %attackspeed% attack speed in duration."
"DOTA_Tooltip_ability_juggernaut_0_scepter_description_1"		"Make talent work on illusions"
"DOTA_Tooltip_ability_juggernaut_0_duration"					"Duration: "
"DOTA_Tooltip_ability_juggernaut_0_critical"					"%Bonus Attack: "
"DOTA_Tooltip_modifier_juggernaut_0"							"Peerless Swordplay"
"DOTA_Tooltip_modifier_juggernaut_0_Description"				"Reduce the initial attack interval, and give critical ability"

"DOTA_Tooltip_ability_juggernaut_1"								"Blade Fury"
"DOTA_Tooltip_ability_juggernaut_1_Description"					"The sword Saint dances with his own illusion to destroy heaven and earth, causing damage to the enemy units around him. Increases attack speed and movement speed and ignores collisions for the duration."
"DOTA_Tooltip_ability_juggernaut_1_scepter_description_2"		"Immune to magic for duration"
"DOTA_Tooltip_ability_juggernaut_1_base_damage"					"Base Damage Per Second: "
"DOTA_Tooltip_ability_juggernaut_1_damage"						"Agi Damage Factor Per Second: "
"DOTA_Tooltip_ability_juggernaut_1_attackspeed"					"%Attackspeed: "
"DOTA_Tooltip_ability_juggernaut_1_movespeed"					"%Movespeed: "
"DOTA_Tooltip_ability_juggernaut_1_duration"					"Duration: "
"DOTA_Tooltip_ability_juggernaut_1_blade_fury_radius"			"Radius: "
"DOTA_Tooltip_ability_juggernaut_1_illusion_damage_percent"		"%Illusion Damage Percent: "
"DOTA_Tooltip_modifier_juggernaut_1_buff"						"Blade Fury"
"DOTA_Tooltip_modifier_juggernaut_1_buff_Description"			"Deals continuous damage to nearby units."

"DOTA_Tooltip_ability_juggernaut_2"								"Mirrors"
"DOTA_Tooltip_ability_juggernaut_2_Description"					"Create your own mirror image to help fight. When the skill cools down, it will activate Blossom Slash."
"DOTA_Tooltip_ability_juggernaut_2_images_count"				"Illusion Count: "
"DOTA_Tooltip_ability_juggernaut_2_input_damage"				"%Illusion Incoming Damage: "
"DOTA_Tooltip_ability_juggernaut_2_output_damage"				"%Illusion Outgoing Damage: "
"DOTA_Tooltip_ability_juggernaut_2_duration"					"Duration: "

"DOTA_Tooltip_ability_juggernaut_2_1"							"Blossom Slash"
"DOTA_Tooltip_ability_juggernaut_2_1_Description"				"The rapid sword cuts the enemy with all nearby mirrors, stuns and damages all units in the path. Each 1%% damage increases the stun time by 0.1 seconds."
"DOTA_Tooltip_ability_juggernaut_2_1_base_damage"				"Base Damage: "
"DOTA_Tooltip_ability_juggernaut_2_1_damage"					"Agi Damage Factor: "
"DOTA_Tooltip_ability_juggernaut_2_1_duration"					"Base Stun Duration: "

"DOTA_Tooltip_ability_juggernaut_3"								"Blade Dance"
"DOTA_Tooltip_ability_juggernaut_3_Description"					"Each attack increases the attack speed and forms a sword Qi around it to damage the enemy."
"DOTA_Tooltip_ability_juggernaut_3_scepter_description_3"		"Attack has a %scepter_ignore_armor_chance%%% chance to ignore armor"
"DOTA_Tooltip_ability_juggernaut_3_scepter_description_4"		"Each level of sword dance will increase the damage output by %scepter_damage_pct%%% and reduce the damage taken by %scepter_reduce_pct%%%"
"DOTA_Tooltip_ability_juggernaut_3_damage"						"Attack Damage Factor: "
"DOTA_Tooltip_ability_juggernaut_3_base_damage"					"Base Damage: "
"DOTA_Tooltip_ability_juggernaut_3_bonus_attack_speed"			"Attackspeed Per Stack: "
"DOTA_Tooltip_ability_juggernaut_3_duration"					"Duration: "
"DOTA_Tooltip_ability_juggernaut_3_radius"						"Radius: "
"DOTA_Tooltip_modifier_juggernaut_3"							"Blade Dance"
"DOTA_Tooltip_modifier_juggernaut_3_Description"				"Increase %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT% attackspeed, reduce %dMODIFIER_PROPERTY_INCOMING_DAMAGE_PERCENTAGE%%% incoming damage and %dMODIFIER_PROPERTY_TOTALDAMAGEOUTGOING_PERCENTAGE%%% outgoing damage."

"DOTA_Tooltip_ability_juggernaut_4"								"Phantom Sword "
"DOTA_Tooltip_ability_juggernaut_4_Description"					"The sword Saint launches the phantom sword dance to deal damage to the units in the range with extremely high attack speed. He will not take any damage during this period. After the effect is over, the swordsman will be invincible for %buff_duration% second."
"DOTA_Tooltip_ability_juggernaut_4_damage"						"Attack Damage Factor: "
"DOTA_Tooltip_ability_juggernaut_4_duration"					"Duration: "
"DOTA_Tooltip_ability_juggernaut_4_interval"					"Attack Interval: "
"DOTA_Tooltip_ability_juggernaut_4_radius"						"Radius: "
"DOTA_Tooltip_modifier_juggernaut_4"							"Phantom Sword "
"DOTA_Tooltip_modifier_juggernaut_4_buff"						"Invincible"

"DOTA_Tooltip_ability_item_npc_dota_hero_juggernaut"					"Muramasa"
"DOTA_Tooltip_ability_item_npc_dota_hero_juggernaut_Description"		"<h1>Exclusive Equipment</h1> All property, health and mana increase %property%%%\n<h1>First Reincarnation</h1>Making talent effective for illusions\n<h1>Second Reincarnation</h1>Immune to magic for duration\n<h1>Third Reincarnation</h1>Attack has a %scepter_ignore_armor_chance%%% chance to ignore armor\n<h1>Fourth Reincarnation</h1>Each level of sword dance will increase the damage output by %scepter_damage_pct%%% and reduce the damage taken by %scepter_reduce_pct%%%\nThe legendary sword is extremely sharp, killing countless!"

"DOTA_Tooltip_ability_juggernaut_0_juggernaut_01"						"Ghost Mark"
"DOTA_Tooltip_ability_juggernaut_0_juggernaut_01_Description"			"The attack of the GhostFace makes the opponent superimpose the ghost mark, When the makes is superimposed on the %threshold% stack, GhostFace will launch several consecutive slashes on it. When actively used, it starts a continuous cut on a target."
"DOTA_Tooltip_ability_juggernaut_0_juggernaut_01_scepter_description_1"	"Deal [Stack * %scepter_mark_damage% * Agility] damage to the target when the ghost mark is destroyed"
"DOTA_Tooltip_ability_juggernaut_0_juggernaut_01_interval"				"Interval: "
"DOTA_Tooltip_ability_juggernaut_0_juggernaut_01_duration"				"Mark Duration:"
"DOTA_Tooltip_modifier_juggernaut_0_juggernaut_01_mark"					"Ghost Mark"
"DOTA_Tooltip_modifier_juggernaut_0_juggernaut_01_mark_Description"		""

"DOTA_Tooltip_ability_juggernaut_1_juggernaut_01"						"Ghost Slash"
"DOTA_Tooltip_ability_juggernaut_1_juggernaut_01_Description"			"The GhostFace quickly inflicted 5 slashes on the enemies in the range."
"DOTA_Tooltip_ability_juggernaut_1_juggernaut_01_scepter_description_2"	"Ghost Slash stacks a ghost mark on the target every time it damages"
"DOTA_Tooltip_ability_juggernaut_1_juggernaut_01_base_damage"			"Base Damage: "
